nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.4,0.5,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
nodes,a,d,eta,epsilon,gamma
75,0.1,0.3,0.8,1.0,0.1
